PARITY	slice	inputs=1600	mismatches=0	verdict=PASS
FIXTURE2	slice	4:16,31,3,15:-1:87,31,3,15,63,1,9,21	3:816,22320,4833452728359734272,15,63,1,9,21
FIXTURE2	slice	4:0,7,3,15:-1:81,2,3,4,5,6,7,8	3:80,0,0,4,5,6,7,8
FIXTURE2	slice	4:64,63,31,1:-1:8-5,12,0,-1,4096,-4096,77,123	3:864,124992,4849462149413434624,-1,4096,-4096,77,123
FIXTURE2	slice	4:256,1,15,63:-1:81000000,-1000000,42,42,42,0,0,1	3:8256,241920,4764322032387096576,42,42,0,0,1
PARITY	inline	inputs=3036	mismatches=0	verdict=PASS
FIXTURE2	inline	1:16:160,-17,-34,-51,-68,-85,-102,-119,120,103,86,69,52,35,18,1:87,31,3,15,63,1,9,21	-3:87,31,3,15,63,1,9,21
FIXTURE2	inline	1:0:160,-17,-34,-51,-68,-85,-102,-119,120,103,86,69,52,35,18,1:81,2,3,4,5,6,7,8	-3:81,2,3,4,5,6,7,8
FIXTURE2	inline	1:8:80,37,74,111,-108,-71,-34,3:8-5,12,0,-1,4096,-4096,77,123	-3:8-5,12,0,-1,4096,-4096,77,123
FIXTURE2	inline	1:4:40,-17,-34,-51:81000000,-1000000,42,42,42,0,0,1	-3:81000000,-1000000,42,42,42,0,0,1
PARITY	scratch	inputs=3072	mismatches=0	verdict=PASS
FIXTURE2	scratch	1:16:-1:87,31,3,15,63,1,9,21	4:816,4299696267192942464,3014211390965140080,-6648798010941522952,63,1,9,21
FIXTURE2	scratch	1:0:-1:81,2,3,4,5,6,7,8	4:80,0,0,0,5,6,7,8
FIXTURE2	scratch	1:64:-1:8-5,12,0,-1,4096,-4096,77,123	4:864,-1247959004937781760,-3884900653599734408,-6648798010941522952,4096,-4096,77,123
FIXTURE2	scratch	1:256:-1:81000000,-1000000,42,42,42,0,0,1	4:8256,-4991836019751127040,607142164520263220,-6648798010941522952,42,0,0,1
SINK	-6468441450377381319
